code,gana,gana_name,dhatu_slp1,dhatu_iast,dhatu_deva,artha_slp1,artha_iast,artha_deva,core_root
01.1099,1,bhvādi,zmi\N,ṣmiṅ,ष्मिङ्,IzadDasane,īṣaddhasane,ईषद्धसने,smi
10.0058,10,curādi,zmiN,ṣmiṅ,ष्मिङ्,anAdare,anādare,अनादरे,smi
02.0047,2,adādi,zRA\,ṣṇā,ष्णा,SOce,śauce,शौचे,snA
04.0097,4,divādi,zRi\ha~,ṣṇiha,ष्णिह,prItO,prītau,प्रीतौ,snih
10.0055,10,curādi,zRiha~,ṣṇiha,ष्णिह,snehane,snehane,स्नेहने,snih
06.0158,6,tudādi,spf\Sa~,spṛśa,स्पृश,saMsparSane,saṃsparśane,संस्पर्शने,spfS
06.0121,6,tudādi,sPura~,sphura,स्फुर,saYcalane,sañcalane,सञ्चलने,sPur
01.1090,1,bhvādi,sru\,sru,स्रु,gatO,gatau,गतौ,sru
01.1092,1,bhvādi,Sru\,śru,श्रु,SravaRe,śravaṇe,श्रवणे,Sru
01.1077,1,bhvādi,zWA\,ṣṭhā,ष्ठा,gatinivfttO,gatinivṛttau,गतिनिवृत्तौ,sTA
02.0038,2,adādi,zwu\Y,ṣṭuñ,ष्टुञ्,stutO,stutau,स्तुतौ,stu
01.1091,1,bhvādi,zu\,ṣu,षु,prasavESvaryayoH,prasavaiśvaryayoḥ,प्रसवैश्वर्ययोः,su
02.0036,2,adādi,zu\,ṣu,षु,prasavESvaryayoH,prasavaiśvaryayoḥ,प्रसवैश्वर्ययोः,su
05.0001,5,svādi,zu\Y,ṣuñ,षुञ्,aBizave,abhiṣave,अभिषवे,su
01.0500,1,bhvādi,SuBa~,śubha,शुभ,BAzaRe BAsane hiMsAyAM ca,bhāṣaṇe bhāsane hiṃsāyāṃ ca,भाषणे भासने हिंसायां च,SuB
01.0853,1,bhvādi,SuBa~\,śubha,शुभ,dIptO,dīptau,दीप्तौ,SuB
06.0046,6,tudādi,SuBa~,śubha,शुभ,SoBAyAm,śobhāyām,शोभायाम्,SuB
02.0063,2,adādi,Yizva\pa~,ñiṣvapa,ञिष्वप,Saye,śaye,शये,svap
02.0064,2,adādi,Svasa~,śvasa,श्वस,prARane,prāṇane,प्राणने,Svas
01.0218,1,bhvādi,tancu~,tancu,तन्चु,gatO,gatau,गतौ,tan
07.0022,7,rudhādi,tancU~,tancū,तन्चू,saNkocane,saṅkocane,सङ्कोचने,tan
08.0001,8,tanādi,tanu~^,tanu,तनु,vistAre,vistāre,विस्तारे,tan
10.0377,10,curādi,tanu~,tanu,तनु,SradDopakaraRayoH,śraddhopakaraṇayoḥ,श्रद्धोपकरणयोः,tan
01.1140,1,bhvādi,ta\pa~,tapa,तप,santApe,santāpe,सन्तापे,tap
04.0054,4,divādi,ta\pa~\,tapa,तप,ESvarye,aiśvarye,ऐश्वर्ये,tap
10.0350,10,curādi,ta\pa~,tapa,तप,dAhe,dāhe,दाहे,tap
01.1124,1,bhvādi,tF,tṝ,तॄ,plavanataraRayoH,plavanataraṇayoḥ,प्लवनतरणयोः,tF
06.0001,6,tudādi,tu\da~^,tuda,तुद,vyaTane,vyathane,व्यथने,tud
04.0081,4,divādi,tu\za~,tuṣa,तुष,prItO,prītau,प्रीतौ,tuz
01.0884,1,bhvādi,YitvarA~\,ñitvarā,ञित्वरा,samBrame,sambhrame,सम्भ्रमे,tvar
01.1141,1,bhvādi,tya\ja~,tyaja,त्यज,hAnO,hānau,हानौ,tyaj
02.0058,2,adādi,va\ca~,vaca,वच,pariBAzaRe,paribhāṣaṇe,परिभाषणे,vac
10.0380,10,curādi,va\ca~,vaca,वच,pariBAzaRe,paribhāṣaṇe,परिभाषणे,vac
01.1164,1,bhvādi,vada~,vada,वद,vyaktAyAM vAci,vyaktāyāṃ vāci,व्यक्तायां वाचि,vad
