first_slp1,second_slp1,result_slp1,first_iast,second_iast,result_iast,category,sandhi_name,sutra
As,o,A o,ās,o,ā o,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,O,A O,ās,au,ā au,hal+ac boundary,visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,k,AH k,ās,k,āḥ k,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
As,K,AH K,ās,kh,āḥ kh,hal-sandhi (consonant),visarga,8.3.15 KaravasAnayor visarjanIyaH
As,g,A g,ās,g,ā g,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,G,A G,ās,gh,ā gh,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,N,A N,ās,ṅ,ā ṅ,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,c,AS c,ās,c,āś c,hal-sandhi (consonant),visarga→Scutva (S),8.3.34 + 8.4.40
As,C,AS C,ās,ch,āś ch,hal-sandhi (consonant),visarga→Scutva (S),8.3.34 + 8.4.40
As,j,A j,ās,j,ā j,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,J,A J,ās,jh,ā jh,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,Y,A Y,ās,ñ,ā ñ,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,w,Az w,ās,ṭ,āṣ ṭ,hal-sandhi (consonant),visarga→zwutva (z),8.3.34 + 8.4.41
As,W,Az W,ās,ṭh,āṣ ṭh,hal-sandhi (consonant),visarga→zwutva (z),8.3.34 + 8.4.41
As,q,A q,ās,ḍ,ā ḍ,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,Q,A Q,ās,ḍh,ā ḍh,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,R,A R,ās,ṇ,ā ṇ,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,t,As t,ās,t,ās t,hal-sandhi (consonant),satva (s retained),8.3.34 visarjanIyasya saH
As,T,As T,ās,th,ās th,hal-sandhi (consonant),satva (s retained),8.3.34 visarjanIyasya saH
As,d,A d,ās,d,ā d,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,D,A D,ās,dh,ā dh,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
As,n,A n,ās,n,ā n,hal-sandhi (consonant),visarga-lopa,8.3.19–22 lopaH SAkalyasya etc.
